Tournament,Date,Series,Surface,Round,Winner,Loser
BNP Paribas Masters,2022-10-31,Masters 1000,Hard,The Final,Holger Rune,Novak Djokovic
BNP Paribas Masters,2022-10-31,Masters 1000,Hard,Semifinals,Novak Djokovic,Stefanos Tsitsipas
BNP Paribas Masters,2022-10-31,Masters 1000,Hard,Semifinals,Holger Rune,Felix Auger-Aliassime
BNP Paribas Masters,2022-10-31,Masters 1000,Hard,Quarterfinals,Holger Rune,Carlos Alcaraz
BNP Paribas Masters,2022-10-31,Masters 1000,Hard,Quarterfinals,Stefanos Tsitsipas,Tommy Paul
BNP Paribas Masters,2022-10-31,Masters 1000,Hard,Quarterfinals,Novak Djokovic,Lorenzo Musetti
BNP Paribas Masters,2022-10-31,Masters 1000,Hard,Quarterfinals,Felix Auger-Aliassime,Frances Tiafoe
BNP Paribas Masters,2022-10-31,Masters 1000,Hard,4th Round,Carlos Alcaraz,Grigor Dimitrov
BNP Paribas Masters,2022-10-31,Masters 1000,Hard,4th Round,Lorenzo Musetti,Casper Ruud
BNP Paribas Masters,2022-10-31,Masters 1000,Hard,4th Round,Novak Djokovic,Karen Khachanov
BNP Paribas Masters,2022-10-31,Masters 1000,Hard,4th Round,Holger Rune,Andrey Rublev
BNP Paribas Masters,2022-10-31,Masters 1000,Hard,4th Round,Tommy Paul,Pablo Carreno Busta
BNP Paribas Masters,2022-10-31,Masters 1000,Hard,4th Round,Frances Tiafoe,Alex de Minaur
BNP Paribas Masters,2022-10-31,Masters 1000,Hard,3rd Round,Tommy Paul,Rafael Nadal
BNP Paribas Masters,2022-10-31,Masters 1000,Hard,3rd Round,Alex de Minaur,Daniil Medvedev
BNP Paribas Masters,2022-10-31,Masters 1000,Hard,3rd Round,Stefanos Tsitsipas,Daniel Evans
BNP Paribas Masters,2022-10-31,Masters 1000,Hard,3rd Round,Holger Rune,Hubert Hurkacz
BNP Paribas Masters,2022-10-31,Masters 1000,Hard,3rd Round,Pablo Carreno Busta,Denis Shapovalov
BNP Paribas Masters,2022-10-31,Masters 1000,Hard,2nd Round,Taylor Fritz,Alejandro Davidovich Fokina
BNP Paribas Masters,2022-10-31,Masters 1000,Hard,2nd Round,Cameron Norrie,Miomir Kecmanovic
BNP Paribas Masters,2022-10-31,Masters 1000,Hard,2nd Round,Lorenzo Musetti,Marin Cilic
BNP Paribas Masters,2022-10-31,Masters 1000,Hard,2nd Round,Tommy Paul,Roberto Bautista Agut
BNP Paribas Masters,2022-10-31,Masters 1000,Hard,2nd Round,Denis Shapovalov,Francisco Cerundolo
US Open,2022-08-29,Grand Slam,Hard,The Final,Carlos Alcaraz,Casper Ruud
US Open,2022-08-29,Grand Slam,Hard,Semifinals,Carlos Alcaraz,Frances Tiafoe
US Open,2022-08-29,Grand Slam,Hard,Semifinals,Casper Ruud,Karen Khachanov
US Open,2022-08-29,Grand Slam,Hard,Quarterfinals,Carlos Alcaraz,Jannik Sinner
US Open,2022-08-29,Grand Slam,Hard,Quarterfinals,Casper Ruud,Matteo Berrettini
US Open,2022-08-29,Grand Slam,Hard,Quarterfinals,Frances Tiafoe,Andrey Rublev
US Open,2022-08-29,Grand Slam,Hard,Quarterfinals,Karen Khachanov,Nick Kyrgios
US Open,2022-08-29,Grand Slam,Hard,4th Round,Nick Kyrgios,Daniil Medvedev
US Open,2022-08-29,Grand Slam,Hard,4th Round,Frances Tiafoe,Rafael Nadal
US Open,2022-08-29,Grand Slam,Hard,4th Round,Carlos Alcaraz,Marin Cilic
US Open,2022-08-29,Grand Slam,Hard,4th Round,Andrey Rublev,Cameron Norrie
US Open,2022-08-29,Grand Slam,Hard,4th Round,Karen Khachanov,Pablo Carreno Busta
US Open,2022-08-29,Grand Slam,Hard,4th Round,Matteo Berrettini,Alejandro Davidovich Fokina
US Open,2022-08-29,Grand Slam,Hard,3rd Round,Casper Ruud,Tommy Paul
US Open,2022-08-29,Grand Slam,Hard,3rd Round,Cameron Norrie,Holger Rune
US Open,2022-08-29,Grand Slam,Hard,3rd Round,Andrey Rublev,Denis Shapovalov
US Open,2022-08-29,Grand Slam,Hard,3rd Round,Pablo Carreno Busta,Alex de Minaur
US Open,2022-08-29,Grand Slam,Hard,3rd Round,Frances Tiafoe,Diego Schwartzman
Western & Southern Financial Group Masters,2022-08-14,Masters 1000,Hard,The Final,Borna Coric,Stefanos Tsitsipas
Western & Southern Financial Group Masters,2022-08-14,Masters 1000,Hard,Semifinals,Stefanos Tsitsipas,Daniil Medvedev
Western & Southern Financial Group Masters,2022-08-14,Masters 1000,Hard,Semifinals,Borna Coric,Cameron Norrie
Western & Southern Financial Group Masters,2022-08-14,Masters 1000,Hard,Quarterfinals,Daniil Medvedev,Taylor Fritz
Western & Southern Financial Group Masters,2022-08-14,Masters 1000,Hard,Quarterfinals,Cameron Norrie,Carlos Alcaraz
Western & Southern Financial Group Masters,2022-08-14,Masters 1000,Hard,Quarterfinals,Borna Coric,Felix Auger-Aliassime
Western & Southern Financial Group Masters,2022-08-14,Masters 1000,Hard,4th Round,Daniil Medvedev,Denis Shapovalov
Western & Southern Financial Group Masters,2022-08-14,Masters 1000,Hard,4th Round,Carlos Alcaraz,Marin Cilic
Western & Southern Financial Group Masters,2022-08-14,Masters 1000,Hard,4th Round,Stefanos Tsitsipas,Diego Schwartzman
Western & Southern Financial Group Masters,2022-08-14,Masters 1000,Hard,4th Round,Taylor Fritz,Andrey Rublev
Western & Southern Financial Group Masters,2022-08-14,Masters 1000,Hard,4th Round,Felix Auger-Aliassime,Jannik Sinner
Western & Southern Financial Group Masters,2022-08-14,Masters 1000,Hard,4th Round,Borna Coric,Roberto Bautista Agut
Western & Southern Financial Group Masters,2022-08-14,Masters 1000,Hard,3rd Round,Borna Coric,Rafael Nadal
Western & Southern Financial Group Masters,2022-08-14,Masters 1000,Hard,3rd Round,Felix Auger-Aliassime,Alex de Minaur
Western & Southern Financial Group Masters,2022-08-14,Masters 1000,Hard,3rd Round,Jannik Sinner,Miomir Kecmanovic
Western & Southern Financial Group Masters,2022-08-14,Masters 1000,Hard,3rd Round,Taylor Fritz,Nick Kyrgios
Western & Southern Financial Group Masters,2022-08-14,Masters 1000,Hard,3rd Round,Denis Shapovalov,Tommy Paul
Western & Southern Financial Group Masters,2022-08-14,Masters 1000,Hard,2nd Round,Cameron Norrie,Holger Rune
Western & Southern Financial Group Masters,2022-08-14,Masters 1000,Hard,2nd Round,Frances Tiafoe,Matteo Berrettini
Western & Southern Financial Group Masters,2022-08-14,Masters 1000,Hard,2nd Round,Roberto Bautista Agut,Francisco Cerundolo
Western & Southern Financial Group Masters,2022-08-14,Masters 1000,Hard,2nd Round,Denis Shapovalov,Grigor Dimitrov
Western & Southern Financial Group Masters,2022-08-14,Masters 1000,Hard,2nd Round,Borna Coric,Lorenzo Musetti
Western & Southern Financial Group Masters,2022-08-14,Masters 1000,Hard,2nd Round,Miomir Kecmanovic,Pablo Carreno Busta
Western & Southern Financial Group Masters,2022-08-14,Masters 1000,Hard,2nd Round,Nick Kyrgios,Alejandro Davidovich Fokina
Rogers Masters,2022-08-08,Masters 1000,Hard,The Final,Pablo Carreno Busta,Hubert Hurkacz
Rogers Masters,2022-08-08,Masters 1000,Hard,Semifinals,Hubert Hurkacz,Casper Ruud
Rogers Masters,2022-08-08,Masters 1000,Hard,Semifinals,Pablo Carreno Busta,Daniel Evans
Rogers Masters,2022-08-08,Masters 1000,Hard,Quarterfinals,Casper Ruud,Felix Auger-Aliassime
Rogers Masters,2022-08-08,Masters 1000,Hard,Quarterfinals,Hubert Hurkacz,Nick Kyrgios
Rogers Masters,2022-08-08,Masters 1000,Hard,Quarterfinals,Daniel Evans,Tommy Paul
Rogers Masters,2022-08-08,Masters 1000,Hard,4th Round,Casper Ruud,Roberto Bautista Agut
Rogers Masters,2022-08-08,Masters 1000,Hard,4th Round,Felix Auger-Aliassime,Cameron Norrie
Rogers Masters,2022-08-08,Masters 1000,Hard,4th Round,Pablo Carreno Busta,Jannik Sinner
Rogers Masters,2022-08-08,Masters 1000,Hard,4th Round,Daniel Evans,Taylor Fritz
