Jugador,Efectividad_bajo_presion,Break_Points_Covertidos_pct,Break_Points_Salvados_pct,Tie_Break_Ganados_pct,Victorias_Sets_Definitivos_pct,Año,Superficie
Alexander Zverev,283.9,45.1,58.8,100.0,80.0,2022,Clay
Frances Tiafoe,252.9,39.3,63.6,66.7,83.3,2022,Clay
Marin Cilic,252.5,44.4,65.2,100.0,42.9,2022,Clay
Stefanos Tsitsipas,250.3,48.4,57.4,66.7,77.8,2022,Clay
Daniel Evans,247.9,44.0,61.0,42.9,100.0,2022,Clay
Rafael Nadal,247.6,44.4,53.2,100.0,50.0,2022,Clay
Carlos Alcaraz,242.6,40.9,60.6,62.5,78.6,2022,Clay
Diego Schwartzman,242.3,44.3,56.4,58.3,83.3,2022,Clay
Lorenzo Musetti,240.5,56.8,53.1,55.6,75.0,2022,Clay
Casper Ruud,239.1,34.7,65.5,72.2,66.7,2022,Clay
Taylor Fritz,237.8,42.2,55.6,80.0,60.0,2022,Clay
Novak Djokovic,237.3,41.5,65.8,80.0,50.0,2022,Clay
Francisco Cerundolo,233.2,42.6,63.1,40.0,87.5,2022,Clay
Jannik Sinner,231.0,44.4,65.2,50.0,71.4,2022,Clay
Grigor Dimitrov,230.6,43.0,52.6,75.0,60.0,2022,Clay
Andrey Rublev,229.5,39.8,65.9,57.1,66.7,2022,Clay
Karen Khachanov,223.7,42.7,66.0,75.0,40.0,2022,Clay
Denis Shapovalov,221.2,30.6,73.9,66.7,50.0,2022,Clay
Hubert Hurkacz,217.0,41.5,67.2,33.3,75.0,2022,Clay
Pablo Carreno Busta,215.8,39.2,59.9,66.7,50.0,2022,Clay
Felix Auger-Aliassime,211.6,40.1,64.4,50.0,57.1,2022,Clay
Nick Kyrgios,205.0,30.0,75.0,0.0,100.0,2022,Clay
Holger Rune,201.9,40.8,61.1,60.0,40.0,2022,Clay
Matteo Berrettini,195.2,42.9,69.0,33.3,50.0,2022,Clay
Alex de Minaur,194.8,43.3,61.1,33.3,57.1,2022,Clay
Tommy Paul,189.4,33.9,62.2,60.0,33.3,2022,Clay
Cameron Norrie,183.9,40.9,58.0,25.0,60.0,2022,Clay
Borna Coric,174.1,26.4,56.0,66.7,25.0,2022,Clay
Roberto Bautista Agut,164.9,41.4,65.2,25.0,33.3,2022,Clay
Alejandro Davidovich Fokina,160.2,40.2,55.7,14.3,50.0,2022,Clay
Miomir Kecmanovic,157.4,43.9,56.8,40.0,16.7,2022,Clay
Daniil Medvedev,105.8,47.7,58.1,0.0,0.0,2022,Clay
Jannik Sinner,259.5,41.5,60.7,84.6,72.7,2022,Hard
Novak Djokovic,248.2,45.3,59.3,76.9,66.7,2022,Hard
Andrey Rublev,246.5,39.4,62.4,64.7,80.0,2022,Hard
Cameron Norrie,243.2,45.4,63.7,59.1,75.0,2022,Hard
Miomir Kecmanovic,242.6,40.6,66.4,55.6,80.0,2022,Hard
Rafael Nadal,238.1,42.9,65.5,58.3,71.4,2022,Hard
Borna Coric,235.3,36.1,64.0,72.7,62.5,2022,Hard
Felix Auger-Aliassime,232.0,36.0,67.8,63.9,64.3,2022,Hard
Alex de Minaur,230.8,44.7,63.6,62.5,60.0,2022,Hard
Holger Rune,230.2,42.0,66.7,60.0,61.5,2022,Hard
Karen Khachanov,229.8,41.1,64.1,40.0,84.6,2022,Hard
Nick Kyrgios,229.7,47.1,72.6,60.0,50.0,2022,Hard
Stefanos Tsitsipas,228.3,38.9,68.4,56.7,64.3,2022,Hard
Casper Ruud,227.5,40.9,59.4,64.7,62.5,2022,Hard
Frances Tiafoe,226.1,37.7,64.3,74.1,50.0,2022,Hard
Matteo Berrettini,225.0,37.9,66.5,65.0,55.6,2022,Hard
Alexander Zverev,222.1,45.5,65.2,71.4,40.0,2022,Hard
Denis Shapovalov,214.4,37.2,64.3,60.0,52.9,2022,Hard
Taylor Fritz,210.5,35.1,62.8,51.7,60.9,2022,Hard
Hubert Hurkacz,210.1,37.2,72.9,41.2,58.8,2022,Hard
Carlos Alcaraz,209.8,42.6,67.8,43.8,55.6,2022,Hard
Diego Schwartzman,205.8,39.0,62.1,33.3,71.4,2022,Hard
Daniel Evans,205.8,43.1,59.4,57.1,46.2,2022,Hard
Francisco Cerundolo,203.1,43.3,59.8,62.5,37.5,2022,Hard
Tommy Paul,203.1,39.9,58.6,42.1,62.5,2022,Hard
