Jugador,Efectividad_al_saque,Primer_Servicio_Saque_pct,Puntos_Ganados_Primer_Saque_pct,Puntos_Ganados_Segundo_Saque_pct,Games_Ganados_Saque_pct,Prom_AcesxPartido,Prom_DoblexPartido,Año,Superficie
Hubert Hurkacz,293.3,60.5,75.8,59.6,88.6,9.8,1.0,2022,Clay
Nick Kyrgios,289.7,64.9,79.4,47.9,88.2,12.0,2.7,2022,Clay
Matteo Berrettini,287.4,64.2,78.3,50.9,88.0,8.5,2.5,2022,Clay
Casper Ruud,285.1,65.6,73.7,56.8,85.7,5.1,1.8,2022,Clay
Stefanos Tsitsipas,278.4,62.1,73.6,54.9,83.6,6.8,2.6,2022,Clay
Marin Cilic,277.9,58.0,75.8,52.7,84.3,10.0,2.9,2022,Clay
Novak Djokovic,276.1,65.7,70.7,54.5,82.3,4.8,1.9,2022,Clay
Rafael Nadal,276.0,66.8,70.0,58.4,81.0,2.3,2.5,2022,Clay
Carlos Alcaraz,274.9,64.1,71.8,55.3,83.5,2.4,2.2,2022,Clay
Denis Shapovalov,274.8,66.2,69.1,55.0,82.5,6.0,4.0,2022,Clay
Alexander Zverev,271.6,68.6,71.9,47.9,80.6,6.5,3.9,2022,Clay
Roberto Bautista Agut,271.2,63.4,68.4,54.7,83.3,2.8,1.4,2022,Clay
Andrey Rublev,271.2,60.1,73.9,50.9,82.5,6.5,2.7,2022,Clay
Pablo Carreno Busta,269.1,68.0,67.7,54.1,77.7,3.0,1.4,2022,Clay
Felix Auger-Aliassime,268.1,65.4,71.1,48.5,79.4,7.1,3.4,2022,Clay
Cameron Norrie,267.0,64.9,69.7,51.3,78.3,4.9,2.1,2022,Clay
Jannik Sinner,266.9,57.1,72.6,52.5,82.5,4.7,2.5,2022,Clay
Grigor Dimitrov,266.0,60.7,74.1,51.4,78.9,3.5,2.6,2022,Clay
Borna Coric,265.2,61.0,70.2,52.2,78.4,4.8,1.4,2022,Clay
Karen Khachanov,263.1,64.1,67.2,52.4,76.9,4.7,2.2,2022,Clay
Holger Rune,262.5,63.5,69.2,52.2,78.3,2.5,3.2,2022,Clay
