Ranking_Efectividad_Bajo_Presion,Jugador,Efectividad_bajo_presion,Break_Points_Covertidos_pct,Break_Points_Salvados_pct,Tie_Break_Ganados_pct,Victorias_Sets_Definitivos_pct
1,Matteo Berrettini,261.7,43.0,77.5,57.9,83.3
3,Casper Ruud,251.2,44.3,63.5,54.5,88.9
4,Carlos Alcaraz,247.0,41.2,62.4,68.4,75.0
5,Daniil Medvedev,242.2,47.2,65.0,50.0,80.0
8,Novak Djokovic,237.7,48.5,64.2,50.0,75.0
9,Alexander Zverev,234.5,38.7,63.7,73.3,58.8
10,Andrey Rublev,233.3,43.2,66.3,66.7,57.1
11,Jannik Sinner,232.6,42.3,68.9,64.3,57.1
14,Taylor Fritz,229.3,38.2,63.7,58.6,68.8
16,Grigor Dimitrov,223.9,43.1,61.3,41.7,77.8
19,Tommy Paul,213.6,38.5,59.5,42.9,72.7
20,Frances Tiafoe,213.3,39.8,64.1,56.5,52.9
24,Felix Auger-Aliassime,210.1,36.3,57.1,66.7,50.0
25,Nick Kyrgios,208.8,21.9,56.9,80.0,50.0
27,Pablo Carreno Busta,208.6,43.7,64.9,75.0,25.0
29,Stefanos Tsitsipas,208.0,42.0,63.1,42.9,60.0
31,Lorenzo Musetti,206.2,30.4,61.4,58.8,55.6
33,Denis Shapovalov,205.2,39.1,66.1,55.6,44.4
36,Alejandro Davidovich Fokina,204.2,38.0,60.6,55.6,50.0
37,Marin Cilic,202.2,39.5,61.2,40.0,61.5
40,Diego Schwartzman,199.5,42.8,57.9,45.5,53.3
42,Hubert Hurkacz,198.2,35.3,64.6,58.3,40.0
44,Karen Khachanov,197.0,34.6,68.6,50.0,43.8
45,Daniel Evans,195.9,38.7,62.5,58.3,36.4
46,Cameron Norrie,195.3,44.2,57.8,40.0,53.3
50,Rafael Nadal,193.5,43.5,66.7,50.0,33.3
54,Roberto Bautista Agut,186.3,42.0,57.0,44.4,42.9
55,Holger Rune,180.6,42.6,48.0,40.0,50.0
56,Borna Coric,178.7,35.3,63.4,80.0,0.0
58,Miomir Kecmanovic,167.4,40.0,63.0,44.4,20.0
60,Alex de Minaur,157.5,43.1,54.7,37.5,22.2
