Ranking_Efectividad_Bajo_Presion,Jugador,Efectividad_bajo_presion,Break_Points_Covertidos_pct,Break_Points_Salvados_pct,Tie_Break_Ganados_pct,Victorias_Sets_Definitivos_pct
1,Jannik Sinner,259.5,41.5,60.7,84.6,72.7
2,Novak Djokovic,248.2,45.3,59.3,76.9,66.7
3,Andrey Rublev,246.5,39.4,62.4,64.7,80.0
4,Cameron Norrie,243.2,45.4,63.7,59.1,75.0
5,Miomir Kecmanovic,242.6,40.6,66.4,55.6,80.0
7,Rafael Nadal,238.1,42.9,65.5,58.3,71.4
8,Borna Coric,235.3,36.1,64.0,72.7,62.5
11,Felix Auger-Aliassime,232.0,36.0,67.8,63.9,64.3
12,Alex de Minaur,230.8,44.7,63.6,62.5,60.0
14,Holger Rune,230.2,42.0,66.7,60.0,61.5
15,Karen Khachanov,229.8,41.1,64.1,40.0,84.6
16,Nick Kyrgios,229.7,47.1,72.6,60.0,50.0
17,Stefanos Tsitsipas,228.3,38.9,68.4,56.7,64.3
18,Casper Ruud,227.5,40.9,59.4,64.7,62.5
19,Frances Tiafoe,226.1,37.7,64.3,74.1,50.0
21,Matteo Berrettini,225.0,37.9,66.5,65.0,55.6
24,Alexander Zverev,222.1,45.5,65.2,71.4,40.0
27,Denis Shapovalov,214.4,37.2,64.3,60.0,52.9
30,Taylor Fritz,210.5,35.1,62.8,51.7,60.9
31,Hubert Hurkacz,210.1,37.2,72.9,41.2,58.8
33,Carlos Alcaraz,209.8,42.6,67.8,43.8,55.6
38,Diego Schwartzman,205.8,39.0,62.1,33.3,71.4
39,Daniel Evans,205.8,43.1,59.4,57.1,46.2
40,Francisco Cerundolo,203.1,43.3,59.8,62.5,37.5
41,Tommy Paul,203.1,39.9,58.6,42.1,62.5
42,Grigor Dimitrov,200.3,36.0,63.4,43.8,57.1
43,Roberto Bautista Agut,199.9,38.0,58.7,58.8,44.4
44,Pablo Carreno Busta,199.4,40.4,67.3,50.0,41.7
49,Lorenzo Musetti,194.4,39.8,61.7,42.9,50.0
52,Daniil Medvedev,188.6,41.2,68.3,56.0,23.1
55,Marin Cilic,184.4,35.4,66.9,42.1,40.0
59,Alejandro Davidovich Fokina,166.4,39.4,52.0,41.7,33.3
