Ranking_Efectividad_Bajo_Presion,Jugador,Efectividad_bajo_presion,Break_Points_Covertidos_pct,Break_Points_Salvados_pct,Tie_Break_Ganados_pct,Victorias_Sets_Definitivos_pct
2,Daniil Medvedev,319.4,48.0,71.4,100.0,100.0
4,Matteo Berrettini,310.8,31.9,78.9,100.0,100.0
5,Marin Cilic,292.1,42.1,50.0,100.0,100.0
9,Pablo Carreno Busta,272.5,15.4,57.1,100.0,100.0
13,Stefanos Tsitsipas,253.1,36.4,66.7,75.0,75.0
15,Hubert Hurkacz,248.8,25.0,57.1,100.0,66.7
16,Nick Kyrgios,244.9,36.6,83.3,50.0,75.0
22,Taylor Fritz,228.8,40.7,71.4,50.0,66.7
25,Grigor Dimitrov,226.2,44.4,81.8,0.0,100.0
28,Alejandro Davidovich Fokina,222.6,57.1,65.5,0.0,100.0
29,Alex de Minaur,220.2,34.0,52.9,100.0,33.3
30,Tommy Paul,218.3,38.1,70.2,50.0,60.0
34,Roberto Bautista Agut,207.5,40.8,66.7,50.0,50.0
35,Felix Auger-Aliassime,206.4,48.1,75.0,50.0,33.3
43,Cameron Norrie,189.5,21.1,68.4,100.0,0.0
44,Karen Khachanov,188.6,34.8,47.1,40.0,66.7
60,Casper Ruud,140.0,50.0,90.0,0.0,0.0
64,Frances Tiafoe,115.8,30.8,60.0,25.0,0.0
70,Francisco Cerundolo,104.0,38.5,65.5,0.0,0.0
71,Holger Rune,95.3,28.6,66.7,0.0,0.0
73,Andrey Rublev,90.4,33.3,57.1,0.0,0.0
75,Diego Schwartzman,83.3,33.3,50.0,0.0,0.0
76,Daniel Evans,81.0,16.7,64.3,0.0,0.0
81,Jannik Sinner,66.7,16.7,50.0,0.0,0.0
85,Miomir Kecmanovic,54.0,11.1,42.9,0.0,0.0
86,Lorenzo Musetti,50.0,0.0,50.0,0.0,0.0
87,Denis Shapovalov,47.4,17.4,30.0,0.0,0.0
