Ranking_Efectividad_Bajo_Presion,Jugador,Efectividad_bajo_presion,Break_Points_Covertidos_pct,Break_Points_Salvados_pct,Tie_Break_Ganados_pct,Victorias_Sets_Definitivos_pct
1,Novak Djokovic,313.1,43.8,69.3,100.0,100.0
2,Roberto Bautista Agut,296.2,47.2,49.0,100.0,100.0
3,Alexander Zverev,283.0,41.3,41.7,100.0,100.0
4,Diego Schwartzman,274.0,49.2,61.3,77.8,85.7
7,Borna Coric,255.3,36.4,58.9,60.0,100.0
8,Casper Ruud,253.7,36.1,59.3,75.0,83.3
10,Stefanos Tsitsipas,246.5,44.8,61.7,100.0,40.0
11,Karen Khachanov,241.0,50.0,61.0,80.0,50.0
13,Carlos Alcaraz,232.5,24.2,58.3,100.0,50.0
15,Rafael Nadal,229.1,61.7,67.4,100.0,0.0
20,Taylor Fritz,214.6,26.0,63.6,25.0,100.0
22,Marin Cilic,210.9,42.9,68.0,0.0,100.0
23,Lorenzo Musetti,210.6,48.8,61.8,100.0,0.0
26,Grigor Dimitrov,205.7,39.7,66.0,50.0,50.0
27,Andrey Rublev,203.5,48.7,59.8,20.0,75.0
28,Hubert Hurkacz,202.5,47.5,55.0,50.0,50.0
29,Alejandro Davidovich Fokina,188.3,44.4,60.6,50.0,33.3
30,Felix Auger-Aliassime,185.1,22.2,62.9,100.0,0.0
31,Denis Shapovalov,180.5,38.2,59.0,33.3,50.0
34,Jannik Sinner,162.6,51.9,60.7,0.0,50.0
37,Tommy Paul,150.5,43.1,57.4,0.0,50.0
38,Matteo Berrettini,145.6,32.3,63.3,50.0,0.0
40,Francisco Cerundolo,134.5,80.0,54.5,0.0,0.0
41,Frances Tiafoe,126.2,28.6,64.3,33.3,0.0
44,Alex de Minaur,107.7,45.5,62.2,0.0,0.0
45,Daniel Evans,102.8,50.0,52.8,0.0,0.0
46,Daniil Medvedev,100.0,50.0,50.0,0.0,0.0
47,Pablo Carreno Busta,95.3,36.6,58.7,0.0,0.0
51,Cameron Norrie,86.8,36.8,50.0,0.0,0.0
53,Miomir Kecmanovic,71.2,25.0,46.2,0.0,0.0
