Ranking_Efectividad_Bajo_Presion,Jugador,Efectividad_bajo_presion,Break_Points_Covertidos_pct,Break_Points_Salvados_pct,Tie_Break_Ganados_pct,Victorias_Sets_Definitivos_pct
1,Alexander Zverev,283.9,45.1,58.8,100.0,80.0
2,Frances Tiafoe,252.9,39.3,63.6,66.7,83.3
4,Marin Cilic,252.5,44.4,65.2,100.0,42.9
6,Stefanos Tsitsipas,250.3,48.4,57.4,66.7,77.8
7,Daniel Evans,247.9,44.0,61.0,42.9,100.0
8,Rafael Nadal,247.6,44.4,53.2,100.0,50.0
11,Carlos Alcaraz,242.6,40.9,60.6,62.5,78.6
12,Diego Schwartzman,242.3,44.3,56.4,58.3,83.3
13,Lorenzo Musetti,240.5,56.8,53.1,55.6,75.0
15,Casper Ruud,239.1,34.7,65.5,72.2,66.7
16,Taylor Fritz,237.8,42.2,55.6,80.0,60.0
17,Novak Djokovic,237.3,41.5,65.8,80.0,50.0
19,Francisco Cerundolo,233.2,42.6,63.1,40.0,87.5
21,Jannik Sinner,231.0,44.4,65.2,50.0,71.4
22,Grigor Dimitrov,230.6,43.0,52.6,75.0,60.0
23,Andrey Rublev,229.5,39.8,65.9,57.1,66.7
26,Karen Khachanov,223.7,42.7,66.0,75.0,40.0
28,Denis Shapovalov,221.2,30.6,73.9,66.7,50.0
30,Hubert Hurkacz,217.0,41.5,67.2,33.3,75.0
31,Pablo Carreno Busta,215.8,39.2,59.9,66.7,50.0
35,Felix Auger-Aliassime,211.6,40.1,64.4,50.0,57.1
37,Nick Kyrgios,205.0,30.0,75.0,0.0,100.0
40,Holger Rune,201.9,40.8,61.1,60.0,40.0
44,Matteo Berrettini,195.2,42.9,69.0,33.3,50.0
45,Alex de Minaur,194.8,43.3,61.1,33.3,57.1
51,Tommy Paul,189.4,33.9,62.2,60.0,33.3
53,Cameron Norrie,183.9,40.9,58.0,25.0,60.0
62,Borna Coric,174.1,26.4,56.0,66.7,25.0
65,Roberto Bautista Agut,164.9,41.4,65.2,25.0,33.3
69,Alejandro Davidovich Fokina,160.2,40.2,55.7,14.3,50.0
71,Miomir Kecmanovic,157.4,43.9,56.8,40.0,16.7
79,Daniil Medvedev,105.8,47.7,58.1,0.0,0.0
