Ranking_Efectividad_Resto,Jugador,Efectividad_al_resto,Restos_Primer_Saque_pct,Restos_Segundo_Saque_pct,Games_Resto_pct,Break_Points_Covertidos_pct
1,Novak Djokovic,163.0,31.6,58.2,29.9,43.3
2,Roberto Bautista Agut,160.8,31.1,58.5,30.8,40.4
4,Diego Schwartzman,158.7,30.5,56.1,27.9,44.2
5,Grigor Dimitrov,157.9,30.9,53.0,27.0,47.0
6,Daniil Medvedev,157.5,31.5,56.9,27.9,41.2
7,Rafael Nadal,157.5,30.3,56.4,27.9,42.9
8,Alejandro Davidovich Fokina,156.2,33.5,53.1,29.5,40.1
9,Alexander Zverev,154.4,32.1,51.2,27.3,43.8
10,Andrey Rublev,154.1,31.1,53.4,26.9,42.7
11,Jannik Sinner,149.8,31.3,51.8,24.7,42.0
12,Alex de Minaur,149.8,30.6,52.7,23.9,42.6
13,Lorenzo Musetti,148.6,16.1,62.5,20.0,50.0
15,Borna Coric,147.9,27.7,50.7,23.3,46.2
18,Daniel Evans,147.0,31.0,50.7,24.6,40.7
21,Karen Khachanov,144.7,26.9,53.6,20.9,43.3
22,Tommy Paul,143.8,27.9,51.5,22.3,42.1
25,Cameron Norrie,141.9,29.5,48.1,22.6,41.7
26,Miomir Kecmanovic,140.3,27.5,49.6,21.7,41.5
28,Pablo Carreno Busta,139.3,25.1,53.6,22.9,37.7
29,Hubert Hurkacz,139.0,27.6,50.7,21.2,39.5
30,Frances Tiafoe,137.4,28.3,48.6,20.2,40.3
33,Nick Kyrgios,133.8,19.7,50.9,13.2,50.0
35,Taylor Fritz,131.2,24.9,53.5,19.1,33.7
36,Felix Auger-Aliassime,131.0,29.4,45.9,19.6,36.1
37,Stefanos Tsitsipas,130.9,27.8,48.6,18.5,36.0
39,Marin Cilic,129.3,26.7,50.1,17.7,34.8
41,Denis Shapovalov,129.2,27.3,48.0,18.5,35.4
44,Casper Ruud,119.5,23.0,48.2,15.4,32.9
45,Matteo Berrettini,118.9,25.2,48.1,15.0,30.6
