Ranking_Efectividad_Resto,Jugador,Efectividad_al_resto,Restos_Primer_Saque_pct,Restos_Segundo_Saque_pct,Games_Resto_pct,Break_Points_Covertidos_pct
1,Carlos Alcaraz,162.4,34.0,54.0,31.8,42.6
3,Novak Djokovic,158.8,31.4,55.8,26.3,45.3
5,Rafael Nadal,155.8,32.2,52.8,27.9,42.9
6,Alex de Minaur,155.0,31.5,51.9,26.9,44.7
7,Cameron Norrie,154.5,29.5,53.6,26.0,45.4
8,Daniil Medvedev,153.9,31.9,53.9,26.9,41.2
11,Jannik Sinner,151.6,32.1,52.4,25.6,41.5
12,Daniel Evans,150.5,30.4,51.6,25.4,43.1
13,Alexander Zverev,150.5,30.9,49.2,24.9,45.5
15,Diego Schwartzman,148.8,30.3,54.0,25.5,39.0
16,Tommy Paul,148.6,32.0,50.9,25.8,39.9
18,Roberto Bautista Agut,147.1,29.2,54.4,25.5,38.0
20,Nick Kyrgios,147.0,28.6,48.9,22.4,47.1
21,Pablo Carreno Busta,146.9,28.7,53.5,24.3,40.4
25,Francisco Cerundolo,143.9,28.3,51.3,21.0,43.3
27,Andrey Rublev,143.6,28.1,52.6,23.5,39.4
29,Holger Rune,142.7,27.2,52.8,20.7,42.0
30,Miomir Kecmanovic,142.3,28.0,52.3,21.4,40.6
32,Alejandro Davidovich Fokina,140.7,29.1,50.0,22.2,39.4
34,Taylor Fritz,139.6,30.5,50.4,23.6,35.1
35,Casper Ruud,139.5,27.2,49.2,22.2,40.9
37,Karen Khachanov,137.9,27.5,49.1,20.2,41.1
41,Lorenzo Musetti,136.4,28.2,48.9,19.5,39.8
44,Marin Cilic,135.5,29.1,50.2,20.8,35.4
45,Felix Auger-Aliassime,134.8,30.2,48.2,20.4,36.0
47,Denis Shapovalov,133.9,28.1,48.6,20.0,37.2
48,Stefanos Tsitsipas,133.0,27.0,48.3,18.8,38.9
50,Grigor Dimitrov,132.6,28.1,49.7,18.8,36.0
51,Frances Tiafoe,131.4,25.4,50.7,17.6,37.7
54,Hubert Hurkacz,129.4,26.1,48.7,17.4,37.2
55,Borna Coric,128.9,25.7,50.2,16.9,36.1
57,Matteo Berrettini,127.0,27.3,45.1,16.7,37.9
