Ranking_Efectividad_Resto,Jugador,Efectividad_al_resto,Restos_Primer_Saque_pct,Restos_Segundo_Saque_pct,Games_Resto_pct,Break_Points_Covertidos_pct
1,Novak Djokovic,163.8,32.1,54.3,30.6,46.8
4,Rafael Nadal,158.3,31.8,53.6,30.0,42.9
5,Jannik Sinner,156.3,27.9,43.5,18.2,66.7
10,Tommy Paul,151.4,22.2,47.1,15.4,66.7
15,Roberto Bautista Agut,146.1,28.3,55.8,25.0,37.0
18,Diego Schwartzman,143.4,27.7,55.2,25.6,34.9
23,Grigor Dimitrov,141.5,27.7,52.1,18.8,42.9
24,Daniel Evans,140.9,33.5,49.8,26.3,31.3
26,Daniil Medvedev,139.2,27.2,53.2,21.8,37.0
31,Alex de Minaur,135.8,26.4,48.2,19.5,41.7
32,Borna Coric,135.5,23.8,46.9,14.8,50.0
44,Frances Tiafoe,130.1,30.0,43.7,17.9,38.5
47,Taylor Fritz,128.5,23.2,47.5,15.6,42.2
53,Matteo Berrettini,126.8,26.4,47.9,17.1,35.4
57,Felix Auger-Aliassime,125.0,25.7,45.5,15.9,37.9
64,Andrey Rublev,122.1,28.8,56.3,17.6,19.4
67,Miomir Kecmanovic,121.4,21.3,53.0,14.4,32.7
72,Hubert Hurkacz,119.6,27.2,48.4,13.0,31.0
74,Nick Kyrgios,118.2,25.0,36.3,9.8,47.1
78,Cameron Norrie,116.5,21.5,48.1,14.8,32.1
79,Alexander Zverev,115.8,29.2,46.2,16.9,23.5
88,Pablo Carreno Busta,113.6,25.1,43.7,13.0,31.8
89,Karen Khachanov,113.2,21.8,47.7,12.7,31.0
97,Marin Cilic,107.0,25.9,45.2,14.0,21.9
101,Stefanos Tsitsipas,105.0,27.4,45.8,11.8,20.0
117,Denis Shapovalov,63.6,23.6,40.0,0.0,0.0
118,Casper Ruud,61.9,14.1,47.8,0.0,0.0
120,Alejandro Davidovich Fokina,42.4,9.1,33.3,0.0,0.0
