Ranking_Efectividad_Resto,Jugador,Efectividad_al_resto,Restos_Primer_Saque_pct,Restos_Segundo_Saque_pct,Games_Resto_pct,Break_Points_Covertidos_pct
4,Alejandro Davidovich Fokina,161.5,28.6,49.1,26.7,57.1
6,Roberto Bautista Agut,155.0,28.2,58.6,27.4,40.8
10,Francisco Cerundolo,151.7,31.5,54.7,27.0,38.5
13,Daniil Medvedev,150.8,28.8,52.4,21.6,48.0
21,Marin Cilic,136.4,29.2,47.7,17.4,42.1
22,Alex de Minaur,135.4,33.8,46.9,20.7,34.0
24,Felix Auger-Aliassime,134.4,29.9,42.0,14.4,48.1
28,Karen Khachanov,131.9,24.6,52.0,20.5,34.8
30,Taylor Fritz,131.5,21.3,54.4,15.1,40.7
31,Matteo Berrettini,131.1,31.5,46.6,21.1,31.9
33,Grigor Dimitrov,130.4,20.0,50.0,16.0,44.4
35,Tommy Paul,127.7,25.9,46.3,17.4,38.1
42,Casper Ruud,123.6,22.0,43.3,8.3,50.0
44,Stefanos Tsitsipas,122.5,23.3,46.8,16.0,36.4
49,Nick Kyrgios,117.4,22.2,45.3,13.3,36.6
50,Diego Schwartzman,117.4,23.7,50.9,9.5,33.3
56,Andrey Rublev,115.6,18.9,45.2,18.2,33.3
62,Frances Tiafoe,109.6,12.5,54.2,12.1,30.8
65,Denis Shapovalov,106.5,20.9,56.8,11.4,17.4
67,Cameron Norrie,104.1,24.8,47.1,11.1,21.1
69,Hubert Hurkacz,103.2,22.2,45.9,10.1,25.0
71,Pablo Carreno Busta,101.6,21.1,55.3,9.8,15.4
74,Holger Rune,98.9,29.3,33.3,7.7,28.6
75,Daniel Evans,98.6,23.8,47.8,10.3,16.7
79,Jannik Sinner,90.1,18.9,47.4,7.1,16.7
80,Miomir Kecmanovic,84.7,19.1,50.0,4.5,11.1
86,Lorenzo Musetti,52.5,16.1,36.4,0.0,0.0
