Ranking_Efectividad_Resto,Jugador,Efectividad_al_resto,Restos_Primer_Saque_pct,Restos_Segundo_Saque_pct,Games_Resto_pct,Break_Points_Covertidos_pct
1,Rafael Nadal,180.6,38.9,57.7,39.6,44.4
2,Lorenzo Musetti,177.5,35.0,52.6,33.1,56.8
4,Diego Schwartzman,173.0,39.0,53.3,36.4,44.3
5,Miomir Kecmanovic,172.2,36.7,55.8,35.8,43.9
6,Daniil Medvedev,171.9,34.6,55.7,33.9,47.7
8,Alex de Minaur,170.6,35.4,56.8,35.1,43.3
9,Jannik Sinner,166.2,34.0,55.9,31.9,44.4
10,Francisco Cerundolo,166.1,36.8,52.7,34.0,42.6
11,Stefanos Tsitsipas,164.8,33.6,54.0,28.8,48.4
12,Novak Djokovic,163.4,35.3,55.5,31.1,41.5
13,Carlos Alcaraz,162.8,35.4,53.9,32.6,40.9
14,Alejandro Davidovich Fokina,161.7,37.8,49.8,33.9,40.2
18,Roberto Bautista Agut,159.3,33.1,53.9,30.9,41.4
19,Grigor Dimitrov,158.6,35.9,49.5,30.2,43.0
21,Marin Cilic,158.2,34.7,50.4,28.7,44.4
22,Taylor Fritz,158.1,31.3,55.9,28.7,42.2
24,Alexander Zverev,157.0,34.1,50.7,27.1,45.1
28,Cameron Norrie,155.9,35.2,50.9,28.9,40.9
34,Felix Auger-Aliassime,152.9,35.0,50.2,27.6,40.1
38,Daniel Evans,152.1,31.0,51.9,25.2,44.0
42,Holger Rune,151.1,33.8,49.3,27.2,40.8
47,Pablo Carreno Busta,147.4,33.4,48.4,26.4,39.2
49,Andrey Rublev,146.6,34.0,49.0,23.8,39.8
58,Frances Tiafoe,141.7,31.2,49.0,22.2,39.3
59,Hubert Hurkacz,141.6,31.6,46.1,22.4,41.5
61,Casper Ruud,141.1,31.5,51.4,23.5,34.7
62,Karen Khachanov,140.9,31.3,47.0,19.9,42.7
68,Matteo Berrettini,132.1,31.7,37.5,20.0,42.9
72,Tommy Paul,126.8,28.7,45.3,18.9,33.9
77,Nick Kyrgios,118.2,26.8,43.8,17.6,30.0
79,Borna Coric,113.5,27.0,46.1,14.0,26.4
80,Denis Shapovalov,109.9,28.9,39.8,10.6,30.6
