Ranking_Efectividad_Saque,Jugador,Efectividad_al_saque,Primer_Servicio_Saque_pct,Puntos_Ganados_Primer_Saque_pct,Puntos_Ganados_Segundo_Saque_pct,Games_Ganados_Saque_pct,Prom_AcesxPartido,Prom_DoblexPartido
2,Nick Kyrgios,312.0,71.5,78.1,53.1,92.5,19.6,2.8
5,Matteo Berrettini,303.4,59.7,83.5,57.2,93.2,12.9,3.1
6,Stefanos Tsitsipas,298.2,64.3,79.5,57.2,91.3,7.8,1.9
7,Daniil Medvedev,288.3,60.8,78.7,54.4,87.3,9.7,2.6
8,Andrey Rublev,288.1,59.5,80.4,53.6,88.0,8.2,1.6
9,Rafael Nadal,287.8,63.9,76.9,56.0,87.6,5.7,2.3
10,Taylor Fritz,286.5,61.3,78.8,51.4,84.9,12.3,2.2
11,Novak Djokovic,285.3,64.4,77.3,52.9,87.2,6.7,3.2
14,Casper Ruud,283.2,68.7,72.1,52.4,87.0,5.5,2.5
18,Karen Khachanov,279.3,64.8,73.3,52.5,83.7,7.4,2.4
19,Alexander Zverev,279.1,68.5,77.2,44.9,83.1,11.1,5.7
20,Felix Auger-Aliassime,278.1,64.3,75.8,49.5,83.6,9.1,4.2
21,Roberto Bautista Agut,278.0,67.1,70.8,55.4,83.2,3.5,2.0
22,Marin Cilic,276.7,60.8,76.4,49.4,83.0,11.0,3.9
23,Borna Coric,275.7,65.2,71.7,52.7,81.5,6.6,2.0
24,Denis Shapovalov,275.0,61.0,77.2,48.0,83.8,10.7,5.7
26,Pablo Carreno Busta,271.9,66.7,70.5,51.5,79.9,5.0,1.7
32,Daniel Evans,264.9,60.0,70.3,52.8,79.8,4.1,2.1
33,Hubert Hurkacz,264.9,60.0,74.7,45.0,80.1,8.9,3.8
35,Alex de Minaur,264.6,62.3,71.3,50.1,79.7,3.8,2.6
36,Frances Tiafoe,264.1,63.7,70.3,49.7,77.7,4.6,1.9
37,Miomir Kecmanovic,263.1,59.4,71.3,50.7,78.8,5.1,2.2
38,Jannik Sinner,263.0,60.1,72.7,48.4,80.3,4.0,2.5
39,Tommy Paul,262.2,59.1,69.9,52.6,77.5,5.3,2.2
42,Grigor Dimitrov,259.1,62.8,70.3,47.7,78.0,5.2,4.9
43,Cameron Norrie,259.1,65.2,67.5,50.4,74.7,5.7,4.4
45,Diego Schwartzman,251.2,62.4,65.9,51.2,72.6,1.5,2.4
46,Alejandro Davidovich Fokina,249.5,66.8,63.7,49.7,70.3,1.6,2.6
48,Lorenzo Musetti,216.9,59.2,66.7,31.0,60.0,2.0,2.0
