Ranking_Efectividad_Saque,Jugador,Efectividad_al_saque,Primer_Servicio_Saque_pct,Puntos_Ganados_Primer_Saque_pct,Puntos_Ganados_Segundo_Saque_pct,Games_Ganados_Saque_pct,Prom_AcesxPartido,Prom_DoblexPartido
3,Nick Kyrgios,304.5,68.2,78.5,54.6,92.0,14.6,3.4
4,Novak Djokovic,301.6,66.8,81.5,57.6,91.3,5.8,1.4
5,Hubert Hurkacz,301.0,64.8,78.8,53.5,91.1,14.5,1.7
6,Alexander Zverev,291.5,72.3,77.9,47.9,88.4,8.5,3.5
8,Stefanos Tsitsipas,290.2,64.4,77.0,55.6,87.5,7.3,1.6
9,Felix Auger-Aliassime,289.2,64.6,78.5,50.5,87.4,11.5,3.3
10,Matteo Berrettini,289.1,63.6,77.8,50.7,86.4,12.5,1.9
11,Daniil Medvedev,287.8,64.1,77.3,52.5,87.6,10.1,3.8
14,Taylor Fritz,285.5,60.9,77.6,52.6,85.9,10.8,2.3
15,Andrey Rublev,284.6,62.4,77.6,52.0,86.0,8.4,1.8
16,Casper Ruud,284.5,64.8,76.3,53.7,85.4,6.2,1.9
17,Pablo Carreno Busta,284.4,65.9,72.4,57.4,86.0,4.8,2.1
18,Marin Cilic,284.4,59.3,79.1,51.0,86.3,12.0,3.3
20,Borna Coric,281.6,62.4,74.9,54.5,84.2,7.6,2.0
21,Holger Rune,280.6,64.1,74.3,54.0,86.2,5.6,3.6
23,Denis Shapovalov,279.6,61.5,78.0,51.3,85.7,9.0,5.9
24,Carlos Alcaraz,279.0,67.2,71.4,54.9,84.1,4.1,2.7
25,Rafael Nadal,278.9,63.9,74.4,54.0,85.1,5.5,4.0
26,Karen Khachanov,277.9,64.1,74.7,49.5,83.0,9.3,2.7
27,Grigor Dimitrov,276.7,63.3,75.4,51.4,83.5,6.1,3.0
29,Lorenzo Musetti,274.8,64.1,72.0,54.0,82.1,4.7,2.1
31,Roberto Bautista Agut,273.2,66.0,71.2,53.7,81.1,2.8,1.6
32,Jannik Sinner,272.3,58.9,74.9,51.9,82.2,7.3,2.9
34,Miomir Kecmanovic,272.1,60.9,71.1,55.7,82.0,4.1,1.7
35,Frances Tiafoe,271.3,56.7,73.8,52.2,82.1,9.1,2.6
36,Cameron Norrie,271.2,65.4,72.0,50.3,81.3,4.2,2.0
38,Daniel Evans,270.9,61.6,73.4,52.6,81.2,4.6,2.5
40,Tommy Paul,268.5,61.8,71.4,52.9,80.7,4.1,2.4
44,Alex de Minaur,265.9,60.8,69.6,54.0,79.9,3.8,2.2
56,Francisco Cerundolo,259.1,60.2,70.6,50.9,77.5,3.1,3.2
57,Alejandro Davidovich Fokina,258.6,66.5,65.5,52.1,73.2,3.8,2.5
63,Diego Schwartzman,244.8,65.9,63.8,47.6,70.5,1.6,4.6
