Ranking_Efectividad_Saque,Jugador,Efectividad_al_saque,Primer_Servicio_Saque_pct,Puntos_Ganados_Primer_Saque_pct,Puntos_Ganados_Segundo_Saque_pct,Games_Ganados_Saque_pct,Prom_AcesxPartido,Prom_DoblexPartido
3,Nick Kyrgios,309.9,68.1,73.2,64.8,87.8,18.7,2.7
4,Matteo Berrettini,307.9,63.2,82.1,56.2,92.7,15.4,1.7
7,Novak Djokovic,303.6,62.9,84.1,56.1,93.8,9.7,3.0
8,Alexander Zverev,299.5,69.0,82.3,50.6,89.3,14.8,6.5
10,Felix Auger-Aliassime,295.3,64.3,79.1,57.6,84.8,12.4,2.9
13,Frances Tiafoe,291.3,65.9,74.3,56.7,89.8,6.3,1.7
14,Hubert Hurkacz,291.2,62.3,77.2,56.1,88.9,8.3,1.6
15,Pablo Carreno Busta,290.2,70.8,73.1,57.3,88.0,2.5,1.5
17,Cameron Norrie,289.4,69.7,73.4,55.7,88.7,5.8,3.9
20,Andrey Rublev,288.6,60.0,75.5,58.5,88.3,7.6,1.3
22,Grigor Dimitrov,287.5,65.2,78.4,53.2,91.7,6.0,7.0
24,Daniel Evans,286.6,60.8,78.2,57.5,88.6,3.7,2.2
29,Daniil Medvedev,285.7,59.7,81.3,50.3,86.9,10.2,2.7
32,Taylor Fritz,284.9,59.6,74.2,54.9,85.5,17.7,7.0
34,Denis Shapovalov,284.0,58.6,79.4,52.1,89.0,11.8,6.9
40,Karen Khachanov,281.0,65.3,71.5,53.6,82.3,11.1,2.8
46,Marin Cilic,279.4,61.1,79.0,46.0,84.0,15.0,5.7
49,Casper Ruud,277.2,66.8,76.7,48.6,83.6,5.0,3.5
51,Alex de Minaur,274.2,63.4,70.3,56.6,84.1,2.4,2.6
53,Stefanos Tsitsipas,274.1,69.2,75.9,41.7,73.3,15.0,1.0
62,Miomir Kecmanovic,270.3,63.5,71.7,50.7,79.7,8.7,4.0
76,Roberto Bautista Agut,265.0,65.3,69.2,50.9,77.9,4.4,2.7
91,Diego Schwartzman,256.7,61.8,70.1,50.8,76.0,0.7,2.7
99,Lorenzo Musetti,252.4,67.7,66.2,45.2,73.3,3.0,3.0
111,Alejandro Davidovich Fokina,247.3,62.3,66.1,47.7,73.2,3.7,5.7
117,Jannik Sinner,233.0,59.7,67.4,41.8,63.6,5.0,4.5
118,Carlos Alcaraz,230.9,62.2,64.7,42.1,62.9,4.0,5.0
