Ranking_Efectividad_Saque,Jugador,Efectividad_al_saque,Primer_Servicio_Saque_pct,Puntos_Ganados_Primer_Saque_pct,Puntos_Ganados_Segundo_Saque_pct,Games_Ganados_Saque_pct,Prom_AcesxPartido,Prom_DoblexPartido
1,Nick Kyrgios,321.1,65.4,81.6,65.2,96.5,15.4,3.0
3,Matteo Berrettini,306.0,65.4,79.9,55.5,92.7,14.8,2.3
4,Taylor Fritz,305.5,62.6,80.2,61.0,92.1,10.8,1.2
5,Felix Auger-Aliassime,304.3,64.9,81.3,54.3,93.2,14.3,3.7
6,Hubert Hurkacz,302.5,61.4,80.4,58.7,92.5,11.7,2.2
11,Grigor Dimitrov,298.5,71.3,74.2,52.0,92.0,13.0,4.0
15,Karen Khachanov,293.3,62.8,79.5,58.4,88.6,6.5,2.5
21,Stefanos Tsitsipas,287.5,59.1,80.0,55.0,86.0,9.9,2.5
25,Marin Cilic,284.9,57.2,83.5,50.8,85.1,13.3,5.0
26,Miomir Kecmanovic,284.8,81.9,76.0,39.1,81.8,6.5,0.5
28,Roberto Bautista Agut,283.2,70.4,74.8,51.8,85.5,2.3,1.6
38,Casper Ruud,280.3,64.6,71.0,50.0,91.7,8.0,5.0
39,Cameron Norrie,280.0,68.4,75.5,48.5,82.9,6.7,2.0
44,Holger Rune,278.4,70.9,67.9,54.3,83.3,4.5,2.5
50,Denis Shapovalov,275.4,62.9,72.4,56.0,79.4,9.0,4.3
51,Jannik Sinner,274.4,48.7,81.1,59.0,84.6,5.0,4.0
53,Pablo Carreno Busta,273.1,66.4,67.9,61.2,78.6,1.3,2.3
54,Daniil Medvedev,271.0,64.6,74.7,45.4,83.9,6.2,3.8
55,Frances Tiafoe,270.5,64.5,71.1,52.6,81.8,3.0,2.5
59,Alex de Minaur,266.4,59.8,74.7,50.5,80.2,3.3,2.1
61,Tommy Paul,265.6,62.4,71.4,48.2,81.9,4.3,2.6
63,Daniel Evans,265.1,55.1,71.3,55.7,83.3,2.7,3.0
66,Alejandro Davidovich Fokina,263.3,60.6,67.8,56.4,78.3,3.0,2.8
72,Lorenzo Musetti,255.3,64.4,71.4,41.9,78.6,2.0,3.0
79,Andrey Rublev,249.3,61.2,80.5,26.9,72.7,10.0,2.0
80,Francisco Cerundolo,243.2,57.7,69.9,42.9,73.7,3.7,4.7
84,Diego Schwartzman,237.8,65.1,66.7,40.0,70.0,0.0,4.0
