Ranking_Efectividad_Saque,Jugador,Efectividad_al_saque,Primer_Servicio_Saque_pct,Puntos_Ganados_Primer_Saque_pct,Puntos_Ganados_Segundo_Saque_pct,Games_Ganados_Saque_pct,Prom_AcesxPartido,Prom_DoblexPartido
2,Tommy Paul,289.1,62.8,67.6,66.7,85.0,7.0,0.0
3,Rafael Nadal,287.7,68.7,71.1,60.7,86.8,2.2,1.8
4,Nick Kyrgios,284.2,67.1,74.1,50.0,83.3,11.7,2.0
7,Novak Djokovic,281.2,66.7,72.9,55.0,84.8,4.1,2.3
9,Matteo Berrettini,278.9,58.7,77.0,52.4,85.9,7.0,2.1
12,Borna Coric,274.5,59.8,74.3,54.9,83.3,4.8,2.6
13,Casper Ruud,272.8,65.5,71.3,53.5,82.1,3.4,3.0
16,Stefanos Tsitsipas,270.2,63.5,73.3,50.1,81.4,4.3,2.4
23,Karen Khachanov,266.5,63.1,69.0,52.0,80.2,5.4,3.2
26,Grigor Dimitrov,265.4,63.9,73.1,45.5,80.7,6.5,4.3
28,Pablo Carreno Busta,264.1,66.9,68.2,50.0,77.5,3.4,1.9
29,Hubert Hurkacz,264.0,60.6,69.0,54.3,77.4,5.3,2.6
31,Felix Auger-Aliassime,263.1,66.2,70.6,47.7,76.1,6.1,3.6
33,Alexander Zverev,262.4,66.7,72.5,42.8,77.1,9.6,6.3
35,Roberto Bautista Agut,262.1,63.8,69.4,51.9,75.9,3.0,1.9
36,Andrey Rublev,261.8,57.9,74.0,50.4,77.5,4.9,2.9
37,Taylor Fritz,261.6,56.3,73.4,50.1,76.8,6.8,1.8
39,Frances Tiafoe,259.0,64.5,68.0,50.2,73.6,4.8,2.1
51,Marin Cilic,254.7,54.5,74.5,46.8,75.7,8.6,5.4
54,Daniil Medvedev,253.2,54.6,66.6,55.2,76.3,3.8,3.3
62,Denis Shapovalov,246.6,59.5,63.8,52.8,71.4,3.4,4.3
67,Alejandro Davidovich Fokina,244.0,70.2,61.7,46.2,66.7,2.1,2.9
68,Miomir Kecmanovic,240.7,62.4,61.4,51.4,65.2,2.3,2.0
70,Diego Schwartzman,239.9,66.3,62.9,47.7,65.0,1.1,3.1
71,Alex de Minaur,238.9,62.0,65.0,45.0,66.7,2.4,2.2
72,Cameron Norrie,236.8,61.2,64.9,45.2,66.4,2.5,3.4
74,Daniel Evans,232.5,62.4,64.7,43.9,64.5,3.0,6.0
75,Jannik Sinner,227.0,56.0,62.5,46.9,61.6,1.9,1.9
76,Francisco Cerundolo,223.6,65.8,60.0,42.3,61.5,0.0,6.0
