Ranking_Efectividad_Saque,Jugador,Efectividad_al_saque,Primer_Servicio_Saque_pct,Puntos_Ganados_Primer_Saque_pct,Puntos_Ganados_Segundo_Saque_pct,Games_Ganados_Saque_pct,Prom_AcesxPartido,Prom_DoblexPartido
3,Hubert Hurkacz,293.3,60.5,75.8,59.6,88.6,9.8,1.0
4,Nick Kyrgios,289.7,64.9,79.4,47.9,88.2,12.0,2.7
7,Matteo Berrettini,287.4,64.2,78.3,50.9,88.0,8.5,2.5
8,Casper Ruud,285.1,65.6,73.7,56.8,85.7,5.1,1.8
9,Stefanos Tsitsipas,278.4,62.1,73.6,54.9,83.6,6.8,2.6
10,Marin Cilic,277.9,58.0,75.8,52.7,84.3,10.0,2.9
12,Novak Djokovic,276.1,65.7,70.7,54.5,82.3,4.8,1.9
13,Rafael Nadal,276.0,66.8,70.0,58.4,81.0,2.3,2.5
14,Carlos Alcaraz,274.9,64.1,71.8,55.3,83.5,2.4,2.2
15,Denis Shapovalov,274.8,66.2,69.1,55.0,82.5,6.0,4.0
16,Alexander Zverev,271.6,68.6,71.9,47.9,80.6,6.5,3.9
17,Roberto Bautista Agut,271.2,63.4,68.4,54.7,83.3,2.8,1.4
18,Andrey Rublev,271.2,60.1,73.9,50.9,82.5,6.5,2.7
21,Pablo Carreno Busta,269.1,68.0,67.7,54.1,77.7,3.0,1.4
22,Felix Auger-Aliassime,268.1,65.4,71.1,48.5,79.4,7.1,3.4
24,Cameron Norrie,267.0,64.9,69.7,51.3,78.3,4.9,2.1
25,Jannik Sinner,266.9,57.1,72.6,52.5,82.5,4.7,2.5
26,Grigor Dimitrov,266.0,60.7,74.1,51.4,78.9,3.5,2.6
28,Borna Coric,265.2,61.0,70.2,52.2,78.4,4.8,1.4
30,Karen Khachanov,263.1,64.1,67.2,52.4,76.9,4.7,2.2
34,Holger Rune,262.5,63.5,69.2,52.2,78.3,2.5,3.2
36,Daniil Medvedev,261.8,62.6,71.4,47.3,78.7,7.2,5.4
38,Miomir Kecmanovic,261.4,64.7,65.5,55.1,74.7,2.4,1.0
41,Frances Tiafoe,260.4,57.9,71.1,49.5,77.2,6.3,1.6
44,Alejandro Davidovich Fokina,257.9,70.3,64.1,51.5,73.2,1.7,2.9
47,Lorenzo Musetti,256.9,65.8,65.0,53.6,72.6,1.8,1.9
58,Francisco Cerundolo,252.2,62.8,64.2,52.4,73.1,2.3,2.6
59,Taylor Fritz,251.9,62.6,66.3,49.8,70.5,4.5,1.8
63,Daniel Evans,250.4,65.8,66.4,46.5,70.0,3.5,1.8
68,Diego Schwartzman,246.2,68.4,62.5,49.0,68.5,0.9,3.1
74,Tommy Paul,240.4,60.3,67.8,44.1,67.9,3.4,3.1
75,Alex de Minaur,240.1,58.0,64.1,47.6,70.0,1.9,1.5
