Posicion,Jugador,Puntos,Edad
1,Carlos Alcaraz,"6,820",19
2,Rafael Nadal,"6,020",36
3,Casper Ruud,"5,820",23
4,Stefanos Tsitsipas,"5,550",24
5,Novak Djokovic,"4,820",35
6,Felix Auger-Aliassime,"4,195",22
7,Daniil Medvedev,"4,065",26
8,Andrey Rublev,"3,930",25
9,Taylor Fritz,"3,355",25
10,Hubert Hurkacz,"2,905",25
11,Holger Rune,"2,888",19
12,Alexander Zverev,"2,700",25
13,Pablo Carreno Busta,"2,495",31
14,Cameron Norrie,"2,445",27
15,Jannik Sinner,"2,410",21
16,Matteo Berrettini,"2,375",26
17,Marin Cilic,"2,105",34
18,Denis Shapovalov,"2,075",23
19,Frances Tiafoe,"2,000",24
20,Karen Khachanov,"1,990",26
21,Roberto Bautista Agut,"1,940",34
22,Nick Kyrgios,"1,870",27
23,Lorenzo Musetti,"1,865",20
24,Alex de Minaur,"1,790",23
25,Diego Schwartzman,"1,700",30
26,Borna Coric,"1,685",26
27,Daniel Evans,"1,585",32
28,Grigor Dimitrov,"1,460",31
29,Miomir Kecmanovic,"1,420",23
30,Francisco Cerundolo,"1,395",24
31,Alejandro Davidovich Fokina,"1,280",23
32,Tommy Paul,"1,210",25
