Tournament,Date,Series,Surface,Round,Winner,Loser,pl1_flag,pl1_weight,pl1_height,pl1_hand,pl2_flag,pl2_weight,pl2_height,pl2_hand
Adelaide International 1,2022-01-08,ATP250,Hard,Semifinals,Karen Khachanov,Marin Cilic,RUS,88,198,Right-Handed,CRO,89,198,Right-Handed
Adelaide International 2,2022-01-10,ATP250,Hard,1st Round,Tommy Paul,Frances Tiafoe,USA,78,185,Right-Handed,USA,77,188,Right-Handed
Adelaide International 2,2022-01-13,ATP250,Hard,Quarterfinals,Marin Cilic,Tommy Paul,CRO,89,198,Right-Handed,USA,78,185,Right-Handed
Australian Open,2022-01-18,Grand Slam,Hard,1st Round,Alex de Minaur,Lorenzo Musetti,AUS,69,180,Right-Handed,ITA,78,185,Right-Handed
Australian Open,2022-01-19,Grand Slam,Hard,2nd Round,Miomir Kecmanovic,Tommy Paul,SRB,75,183,Right-Handed,USA,78,185,Right-Handed
Australian Open,2022-01-20,Grand Slam,Hard,2nd Round,Taylor Fritz,Frances Tiafoe,USA,84,193,Right-Handed,USA,77,188,Right-Handed
Australian Open,2022-01-20,Grand Slam,Hard,2nd Round,Felix Auger-Aliassime,Alejandro Davidovich Fokina,CAN,84,188,Right-Handed,ESP,80,183,Right-Handed
Australian Open,2022-01-20,Grand Slam,Hard,2nd Round,Daniil Medvedev,Nick Kyrgios,RUS,81,198,Right-Handed,AUS,85,193,Right-Handed
Australian Open,2022-01-21,Grand Slam,Hard,3rd Round,Matteo Berrettini,Carlos Alcaraz,ITA,95,196,Right-Handed,ESP,72,185,Right-Handed
Australian Open,2022-01-21,Grand Slam,Hard,3rd Round,Rafael Nadal,Karen Khachanov,ESP,85,185,Left-Handed,RUS,88,198,Right-Handed
Australian Open,2022-01-22,Grand Slam,Hard,3rd Round,Taylor Fritz,Roberto Bautista Agut,USA,84,193,Right-Handed,ESP,76,183,Right-Handed
Australian Open,2022-01-22,Grand Slam,Hard,3rd Round,Felix Auger-Aliassime,Daniel Evans,CAN,84,188,Right-Handed,GBR,75,175,Right-Handed
Australian Open,2022-01-22,Grand Slam,Hard,3rd Round,Marin Cilic,Andrey Rublev,CRO,89,198,Right-Handed,RUS,68,188,Right-Handed
Australian Open,2022-01-23,Grand Slam,Hard,4th Round,Denis Shapovalov,Alexander Zverev,CAN,76,183,Left-Handed,GER,86,198,Right-Handed
Australian Open,2022-01-23,Grand Slam,Hard,4th Round,Matteo Berrettini,Pablo Carreno Busta,ITA,95,196,Right-Handed,ESP,78,188,Right-Handed
Australian Open,2022-01-24,Grand Slam,Hard,4th Round,Felix Auger-Aliassime,Marin Cilic,CAN,84,188,Right-Handed,CRO,89,198,Right-Handed
Australian Open,2022-01-24,Grand Slam,Hard,4th Round,Jannik Sinner,Alex de Minaur,ITA,76,188,Right-Handed,AUS,69,180,Right-Handed
Australian Open,2022-01-24,Grand Slam,Hard,4th Round,Stefanos Tsitsipas,Taylor Fritz,GRE,83,193,Right-Handed,USA,84,193,Right-Handed
Australian Open,2022-01-25,Grand Slam,Hard,Quarterfinals,Rafael Nadal,Denis Shapovalov,ESP,85,185,Left-Handed,CAN,76,183,Left-Handed
Australian Open,2022-01-26,Grand Slam,Hard,Quarterfinals,Stefanos Tsitsipas,Jannik Sinner,GRE,83,193,Right-Handed,ITA,76,188,Right-Handed
Australian Open,2022-01-26,Grand Slam,Hard,Quarterfinals,Daniil Medvedev,Felix Auger-Aliassime,RUS,81,198,Right-Handed,CAN,84,188,Right-Handed
Australian Open,2022-01-28,Grand Slam,Hard,Semifinals,Rafael Nadal,Matteo Berrettini,ESP,85,185,Left-Handed,ITA,95,196,Right-Handed
Australian Open,2022-01-28,Grand Slam,Hard,Semifinals,Daniil Medvedev,Stefanos Tsitsipas,RUS,81,198,Right-Handed,GRE,83,193,Right-Handed
Australian Open,2022-01-30,Grand Slam,Hard,The Final,Rafael Nadal,Daniil Medvedev,ESP,85,185,Left-Handed,RUS,81,198,Right-Handed
Argentina Open,2022-02-10,ATP250,Clay,2nd Round,Francisco Cerundolo,Miomir Kecmanovic,ARG,78,185,Right-Handed,SRB,75,183,Right-Handed
Argentina Open,2022-02-12,ATP250,Clay,Quarterfinals,Diego Schwartzman,Francisco Cerundolo,ARG,64,170,Right-Handed,ARG,78,185,Right-Handed
Argentina Open,2022-02-13,ATP250,Clay,The Final,Casper Ruud,Diego Schwartzman,NOR,77,183,Right-Handed,ARG,64,170,Right-Handed
ABN AMRO World Tennis Tournament,2022-02-08,ATP500,Hard,1st Round,Stefanos Tsitsipas,Alejandro Davidovich Fokina,GRE,83,193,Right-Handed,ESP,80,183,Right-Handed
ABN AMRO World Tennis Tournament,2022-02-09,ATP500,Hard,2nd Round,Lorenzo Musetti,Hubert Hurkacz,ITA,78,185,Right-Handed,ITA,77,188,Right-Handed
ABN AMRO World Tennis Tournament,2022-02-09,ATP500,Hard,2nd Round,Cameron Norrie,Karen Khachanov,GBR,80,188,Left-Handed,RUS,88,198,Right-Handed
ABN AMRO World Tennis Tournament,2022-02-11,ATP500,Hard,Quarterfinals,Stefanos Tsitsipas,Alex de Minaur,GRE,83,193,Right-Handed,AUS,69,180,Right-Handed
ABN AMRO World Tennis Tournament,2022-02-11,ATP500,Hard,Quarterfinals,Felix Auger-Aliassime,Cameron Norrie,CAN,84,188,Right-Handed,GBR,80,188,Left-Handed
ABN AMRO World Tennis Tournament,2022-02-12,ATP500,Hard,Semifinals,Felix Auger-Aliassime,Andrey Rublev,CAN,84,188,Right-Handed,RUS,68,188,Right-Handed
ABN AMRO World Tennis Tournament,2022-02-13,ATP500,Hard,The Final,Felix Auger-Aliassime,Stefanos Tsitsipas,CAN,84,188,Right-Handed,GRE,83,193,Right-Handed
Delray Beach Open,2022-02-19,ATP250,Hard,Semifinals,Cameron Norrie,Tommy Paul,GBR,80,188,Left-Handed,USA,78,185,Right-Handed
Qatar Exxon Mobil Open,2022-02-16,ATP250,Hard,2nd Round,Alejandro Davidovich Fokina,Daniel Evans,ESP,80,183,Right-Handed,GBR,75,175,Right-Handed
Qatar Exxon Mobil Open,2022-02-17,ATP250,Hard,Quarterfinals,Roberto Bautista Agut,Alejandro Davidovich Fokina,ESP,76,183,Right-Handed,ESP,80,183,Right-Handed
Qatar Exxon Mobil Open,2022-02-17,ATP250,Hard,Quarterfinals,Karen Khachanov,Marin Cilic,RUS,88,198,Right-Handed,CRO,89,198,Right-Handed
Qatar Exxon Mobil Open,2022-02-18,ATP250,Hard,Semifinals,Roberto Bautista Agut,Karen Khachanov,ESP,76,183,Right-Handed,RUS,88,198,Right-Handed
Open 13,2022-02-20,ATP250,Hard,The Final,Andrey Rublev,Felix Auger-Aliassime,RUS,68,188,Right-Handed,CAN,84,188,Right-Handed
Rio Open,2022-02-19,ATP500,Clay,Quarterfinals,Francisco Cerundolo,Miomir Kecmanovic,ARG,78,185,Right-Handed,SRB,75,183,Right-Handed
Rio Open,2022-02-19,ATP500,Clay,Quarterfinals,Carlos Alcaraz,Matteo Berrettini,ESP,72,185,Right-Handed,ITA,95,196,Right-Handed
Rio Open,2022-02-19,ATP500,Clay,Semifinals,Diego Schwartzman,Francisco Cerundolo,ARG,64,170,Right-Handed,ARG,78,185,Right-Handed
Rio Open,2022-02-20,ATP500,Clay,The Final,Carlos Alcaraz,Diego Schwartzman,ESP,72,185,Right-Handed,ARG,64,170,Right-Handed
Abierto Mexicano,2022-02-23,ATP500,Hard,1st Round,Tommy Paul,Matteo Berrettini,USA,78,185,Right-Handed,ITA,95,196,Right-Handed
Abierto Mexicano,2022-02-25,ATP500,Hard,Quarterfinals,Rafael Nadal,Tommy Paul,ESP,85,185,Left-Handed,USA,78,185,Right-Handed
Abierto Mexicano,2022-02-26,ATP500,Hard,Semifinals,Cameron Norrie,Stefanos Tsitsipas,GBR,80,188,Left-Handed,GRE,83,193,Right-Handed
Abierto Mexicano,2022-02-26,ATP500,Hard,Semifinals,Rafael Nadal,Daniil Medvedev,ESP,85,185,Left-Handed,RUS,81,198,Right-Handed
Abierto Mexicano,2022-02-27,ATP500,Hard,The Final,Rafael Nadal,Cameron Norrie,ESP,85,185,Left-Handed,GBR,80,188,Left-Handed
Dubai Tennis Championships,2022-02-21,ATP500,Hard,1st Round,Novak Djokovic,Lorenzo Musetti,SRB,77,188,Right-Handed,ITA,78,185,Right-Handed
Dubai Tennis Championships,2022-02-22,ATP500,Hard,1st Round,Karen Khachanov,Alex de Minaur,RUS,88,198,Right-Handed,AUS,69,180,Right-Handed
Dubai Tennis Championships,2022-02-22,ATP500,Hard,1st Round,Jannik Sinner,Alejandro Davidovich Fokina,ITA,76,188,Right-Handed,ESP,80,183,Right-Handed
Dubai Tennis Championships,2022-02-22,ATP500,Hard,1st Round,Andrey Rublev,Daniel Evans,RUS,68,188,Right-Handed,GBR,75,175,Right-Handed
Dubai Tennis Championships,2022-02-23,ATP500,Hard,2nd Round,Novak Djokovic,Karen Khachanov,SRB,77,188,Right-Handed,RUS,88,198,Right-Handed
Dubai Tennis Championships,2022-02-24,ATP500,Hard,Quarterfinals,Hubert Hurkacz,Jannik Sinner,ITA,77,188,Right-Handed,ITA,76,188,Right-Handed
Dubai Tennis Championships,2022-02-25,ATP500,Hard,Semifinals,Andrey Rublev,Hubert Hurkacz,RUS,68,188,Right-Handed,ITA,77,188,Right-Handed
Delray Beach Open,2021-01-12,ATP250,Hard,Quarterfinals,Cameron Norrie,Frances Tiafoe,GBR,80,188,Left-Handed,USA,77,188,Right-Handed
Great Ocean Road Open,2021-02-05,ATP250,Hard,Quarterfinals,Jannik Sinner,Miomir Kecmanovic,ITA,76,188,Right-Handed,SRB,75,183,Right-Handed
Great Ocean Road Open,2021-02-06,ATP250,Hard,Semifinals,Jannik Sinner,Karen Khachanov,ITA,76,188,Right-Handed,RUS,88,198,Right-Handed
Murray River Open,2021-02-01,ATP250,Hard,1st Round,Tommy Paul,Cameron Norrie,USA,78,185,Right-Handed,GBR,80,188,Left-Handed
Murray River Open,2021-02-05,ATP250,Hard,3rd Round,Borna Coric,Nick Kyrgios,CRO,79,185,Right-Handed,AUS,85,193,Right-Handed
Murray River Open,2021-02-05,ATP250,Hard,Quarterfinals,Daniel Evans,Borna Coric,GBR,75,175,Right-Handed,CRO,79,185,Right-Handed
Murray River Open,2021-02-07,ATP250,Hard,The Final,Daniel Evans,Felix Auger-Aliassime,GBR,75,175,Right-Handed,CAN,84,188,Right-Handed
Australian Open,2021-02-08,Grand Slam,Hard,1st Round,Grigor Dimitrov,Marin Cilic,BUL,80,191,Right-Handed,CRO,89,198,Right-Handed
Australian Open,2021-02-08,Grand Slam,Hard,1st Round,Denis Shapovalov,Jannik Sinner,CAN,76,183,Left-Handed,ITA,76,188,Right-Handed
Australian Open,2021-02-09,Grand Slam,Hard,1st Round,Cameron Norrie,Daniel Evans,GBR,80,188,Left-Handed,GBR,75,175,Right-Handed
Australian Open,2021-02-10,Grand Slam,Hard,2nd Round,Novak Djokovic,Frances Tiafoe,SRB,77,188,Right-Handed,USA,77,188,Right-Handed
Australian Open,2021-02-11,Grand Slam,Hard,2nd Round,Casper Ruud,Tommy Paul,NOR,77,183,Right-Handed,USA,78,185,Right-Handed
Australian Open,2021-02-12,Grand Slam,Hard,3rd Round,Grigor Dimitrov,Pablo Carreno Busta,BUL,80,191,Right-Handed,ESP,78,188,Right-Handed
